% Model,attempt7 - 0deg ate 300nm.mph
% Version,COMSOL 6.1.0.282
% Date,"Jul 21 2025, 10:45"
% Table,Table 3 - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),ewfd.normE^4 (kg^4*m^6/(s^12*A^4))
5.000000000000000E1,0.000000000000000E0,6.330000000000000E-1,1.949824628756858E17
5.000000000000000E1,2.500000000000000E1,6.330000000000000E-1,1.680339901752337E16
5.000000000000000E1,5.000000000000000E1,6.330000000000000E-1,1.541451097378524E16
5.000000000000000E1,7.500000000000000E1,6.330000000000000E-1,1.499462653586137E16
5.000000000000000E1,1.000000000000000E2,6.330000000000000E-1,1.539793331871427E16
5.000000000000000E1,1.250000000000000E2,6.330000000000000E-1,1.509978665781550E16
5.000000000000000E1,1.500000000000000E2,6.330000000000000E-1,1.464919634239447E16
5.000000000000000E1,1.750000000000000E2,6.330000000000000E-1,1.515772846807478E16
5.000000000000000E1,2.000000000000000E2,6.330000000000000E-1,1.466614160711255E16
5.000000000000000E1,2.250000000000000E2,6.330000000000000E-1,1.446507546454426E16
5.000000000000000E1,2.500000000000000E2,6.330000000000000E-1,1.390604115891269E16
5.000000000000000E1,2.750000000000000E2,6.330000000000000E-1,1.429526156714372E16
5.000000000000000E1,3.000000000000000E2,6.330000000000000E-1,1.402243143628316E16
5.000000000000000E1,3.250000000000000E2,6.330000000000000E-1,1.411539890288252E16
5.000000000000000E1,3.500000000000000E2,6.330000000000000E-1,1.426447840403049E16
5.000000000000000E1,3.749999999999999E2,6.330000000000000E-1,1.356761773178031E16
5.000000000000000E1,4.000000000000000E2,6.330000000000000E-1,1.388616312190427E16
5.000000000000000E1,4.249999999999999E2,6.330000000000000E-1,1.360654043341893E16
5.000000000000000E1,4.500000000000000E2,6.330000000000000E-1,1.387013032104563E16
5.000000000000000E1,4.749999999999999E2,6.330000000000000E-1,1.329317389637334E16
5.000000000000000E1,5.000000000000000E2,6.330000000000000E-1,1.393811001592849E16
5.000000000000000E1,5.250000000000000E2,6.330000000000000E-1,1.395773363627963E16
5.000000000000000E1,5.500000000000000E2,6.330000000000000E-1,1.390317023192067E16
5.000000000000000E1,5.749999999999999E2,6.330000000000000E-1,1.395020313780366E16
5.000000000000000E1,6.000000000000000E2,6.330000000000000E-1,1.411314148139239E16
5.000000000000000E1,6.250000000000000E2,6.330000000000000E-1,1.407494058253981E16
5.000000000000000E1,6.500000000000000E2,6.330000000000000E-1,1.409089380980949E16
5.000000000000000E1,6.749999999999999E2,6.330000000000000E-1,1.384397156146328E16
5.000000000000000E1,7.000000000000000E2,6.330000000000000E-1,1.444842909989635E16
7.500000000000000E1,0.000000000000000E0,6.330000000000000E-1,4.596929765263293E17
7.500000000000000E1,2.500000000000000E1,6.330000000000000E-1,5.918917779732087E16
7.500000000000000E1,5.000000000000000E1,6.330000000000000E-1,5.373246581424813E16
7.500000000000000E1,7.500000000000000E1,6.330000000000000E-1,5.259247271225593E16
7.500000000000000E1,1.000000000000000E2,6.330000000000000E-1,5.250838558401006E16
7.500000000000000E1,1.250000000000000E2,6.330000000000000E-1,5.288219054641135E16
7.500000000000000E1,1.500000000000000E2,6.330000000000000E-1,5.221700374728771E16
7.500000000000000E1,1.750000000000000E2,6.330000000000000E-1,5.177210691251189E16
7.500000000000000E1,2.000000000000000E2,6.330000000000000E-1,5.119166891528485E16
7.500000000000000E1,2.250000000000000E2,6.330000000000000E-1,5.250179563338195E16
7.500000000000000E1,2.500000000000000E2,6.330000000000000E-1,5.010685845916120E16
7.500000000000000E1,2.750000000000000E2,6.330000000000000E-1,4.919777717958363E16
7.500000000000000E1,3.000000000000000E2,6.330000000000000E-1,4.842100075352726E16
7.500000000000000E1,3.250000000000000E2,6.330000000000000E-1,4.941284849891788E16
7.500000000000000E1,3.500000000000000E2,6.330000000000000E-1,4.776313754985154E16
7.500000000000000E1,3.749999999999999E2,6.330000000000000E-1,4.939000332921361E16
7.500000000000000E1,4.000000000000000E2,6.330000000000000E-1,4.762923843236524E16
7.500000000000000E1,4.249999999999999E2,6.330000000000000E-1,4.881959699608220E16
7.500000000000000E1,4.500000000000000E2,6.330000000000000E-1,4.694405653333770E16
7.500000000000000E1,4.749999999999999E2,6.330000000000000E-1,4.599085883095737E16
