% Model,attempt7 - 45deg ate 300 nm.mph
% Version,COMSOL 6.1.0.282
% Date,"Jul 21 2025, 10:40"
% Table,Table 3 - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),(ewfd.normE)^4 (kg^4*m^6/(s^12*A^4))
5.000000000000000E1,0.000000000000000E0,6.330000000000000E-1,1.137557590248722E17
5.000000000000000E1,2.500000000000000E1,6.330000000000000E-1,1.956571330171234E16
5.000000000000000E1,5.000000000000000E1,6.330000000000000E-1,1.836075397131417E16
5.000000000000000E1,7.500000000000000E1,6.330000000000000E-1,1.865572271705685E16
5.000000000000000E1,1.000000000000000E2,6.330000000000000E-1,1.888762158073651E16
5.000000000000000E1,1.250000000000000E2,6.330000000000000E-1,1.873460985226765E16
5.000000000000000E1,1.500000000000000E2,6.330000000000000E-1,1.800267343067518E16
5.000000000000000E1,1.750000000000000E2,6.330000000000000E-1,1.992988873773222E16
5.000000000000000E1,2.000000000000000E2,6.330000000000000E-1,1.799023205658667E16
5.000000000000000E1,2.250000000000000E2,6.330000000000000E-1,1.783400180532529E16
5.000000000000000E1,2.500000000000000E2,6.330000000000000E-1,1.723711273134185E16
5.000000000000000E1,2.750000000000000E2,6.330000000000000E-1,1.779777250493012E16
5.000000000000000E1,3.000000000000000E2,6.330000000000000E-1,1.645534122514189E16
5.000000000000000E1,3.250000000000000E2,6.330000000000000E-1,1.696563665642518E16
5.000000000000000E1,3.500000000000000E2,6.330000000000000E-1,1.762726803922976E16
5.000000000000000E1,3.749999999999999E2,6.330000000000000E-1,1.669939578625785E16
5.000000000000000E1,4.000000000000000E2,6.330000000000000E-1,1.669019532293057E16
5.000000000000000E1,4.249999999999999E2,6.330000000000000E-1,1.656086159518757E16
5.000000000000000E1,4.500000000000000E2,6.330000000000000E-1,1.738554139481308E16
5.000000000000000E1,4.749999999999999E2,6.330000000000000E-1,1.591760171955468E16
5.000000000000000E1,5.000000000000000E2,6.330000000000000E-1,1.672572084632142E16
5.000000000000000E1,5.250000000000000E2,6.330000000000000E-1,1.717110585664866E16
5.000000000000000E1,5.500000000000000E2,6.330000000000000E-1,1.744195360556312E16
5.000000000000000E1,5.749999999999999E2,6.330000000000000E-1,1.631338599138728E16
5.000000000000000E1,6.000000000000000E2,6.330000000000000E-1,1.681848019012586E16
5.000000000000000E1,6.250000000000000E2,6.330000000000000E-1,1.722050118244025E16
5.000000000000000E1,6.500000000000000E2,6.330000000000000E-1,1.692827864707765E16
5.000000000000000E1,6.749999999999999E2,6.330000000000000E-1,1.624148264881629E16
5.000000000000000E1,7.000000000000000E2,6.330000000000000E-1,1.742081718640265E16
7.500000000000000E1,0.000000000000000E0,6.330000000000000E-1,3.047397197363233E17
7.500000000000000E1,2.500000000000000E1,6.330000000000000E-1,7.198427017723510E16
7.500000000000000E1,5.000000000000000E1,6.330000000000000E-1,6.808713992942496E16
7.500000000000000E1,7.500000000000000E1,6.330000000000000E-1,6.713077503789611E16
7.500000000000000E1,1.000000000000000E2,6.330000000000000E-1,7.011555291157312E16
7.500000000000000E1,1.250000000000000E2,6.330000000000000E-1,6.987975295160158E16
7.500000000000000E1,1.500000000000000E2,6.330000000000000E-1,6.967014660857036E16
7.500000000000000E1,1.750000000000000E2,6.330000000000000E-1,6.805991030104326E16
7.500000000000000E1,2.000000000000000E2,6.330000000000000E-1,6.860070680537489E16
7.500000000000000E1,2.250000000000000E2,6.330000000000000E-1,7.011837639613686E16
7.500000000000000E1,2.500000000000000E2,6.330000000000000E-1,6.521808122432285E16
7.500000000000000E1,2.750000000000000E2,6.330000000000000E-1,6.434002758886458E16
7.500000000000000E1,3.000000000000000E2,6.330000000000000E-1,6.392104569735298E16
7.500000000000000E1,3.250000000000000E2,6.330000000000000E-1,6.589075303672899E16
7.500000000000000E1,3.500000000000000E2,6.330000000000000E-1,6.241573691244048E16
