% Model,attempt10-785nm_step12.mph
% Version,COMSOL 6.1.0.282
% Date,"Dec 3 2025, 16:16"
% Table,Table 3 - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),ewfd.normE^4 (kg^4*m^6/(s^12*A^4))
4.749999999999999E2,0.000000000000000E0,7.850000000000000E-1,4.289189224383677E19
4.749999999999999E2,4.999999999999999E0,7.850000000000000E-1,4.079801676754143E19
4.749999999999999E2,9.999999999999998E0,7.850000000000000E-1,3.814619589975928E19
4.749999999999999E2,1.500000000000000E1,7.850000000000000E-1,3.758235304799247E19
4.749999999999999E2,2.000000000000000E1,7.850000000000000E-1,3.769913588585098E19
4.749999999999999E2,2.500000000000000E1,7.850000000000000E-1,3.703139726706358E19
4.749999999999999E2,3.000000000000000E1,7.850000000000000E-1,3.637998714640746E19
4.749999999999999E2,3.500000000000000E1,7.850000000000000E-1,3.596846518480125E19
4.749999999999999E2,3.999999999999999E1,7.850000000000000E-1,3.648963140217639E19
4.749999999999999E2,4.500000000000000E1,7.850000000000000E-1,3.661591572224089E19
4.749999999999999E2,5.000000000000000E1,7.850000000000000E-1,3.571917854297694E19
4.749999999999999E2,5.499999999999999E1,7.850000000000000E-1,3.624810187456814E19
4.749999999999999E2,6.000000000000000E1,7.850000000000000E-1,3.680386396270120E19
4.749999999999999E2,6.499999999999999E1,7.850000000000000E-1,3.628794330097902E19
4.749999999999999E2,7.000000000000000E1,7.850000000000000E-1,3.566538128499588E19
4.749999999999999E2,7.500000000000000E1,7.850000000000000E-1,3.733379609077247E19
4.749999999999999E2,7.999999999999999E1,7.850000000000000E-1,3.730642506478736E19
4.749999999999999E2,8.500000000000000E1,7.850000000000000E-1,3.702707359664837E19
4.749999999999999E2,9.000000000000000E1,7.850000000000000E-1,3.948916845230604E19
4.749999999999999E2,9.499999999999999E1,7.850000000000000E-1,4.020953278859197E19
4.749999999999999E2,1.000000000000000E2,7.850000000000000E-1,3.928496542196669E19
4.749999999999999E2,1.050000000000000E2,7.850000000000000E-1,3.970138803938552E19
4.749999999999999E2,1.100000000000000E2,7.850000000000000E-1,4.188662363685551E19
4.749999999999999E2,1.150000000000000E2,7.850000000000000E-1,4.211476999312692E19
4.749999999999999E2,1.200000000000000E2,7.850000000000000E-1,4.382053486576006E19
4.749999999999999E2,1.250000000000000E2,7.850000000000000E-1,4.328927947246788E19
4.749999999999999E2,1.300000000000000E2,7.850000000000000E-1,4.424345692910485E19
4.749999999999999E2,1.350000000000000E2,7.850000000000000E-1,4.561809031688516E19
4.749999999999999E2,1.400000000000000E2,7.850000000000000E-1,4.610640282720209E19
4.749999999999999E2,1.450000000000000E2,7.850000000000000E-1,4.949948115427922E19
4.749999999999999E2,1.500000000000000E2,7.850000000000000E-1,5.064728593829461E19
4.749999999999999E2,1.550000000000000E2,7.850000000000000E-1,5.380092858273979E19
4.749999999999999E2,1.600000000000000E2,7.850000000000000E-1,5.472547970273578E19
4.749999999999999E2,1.650000000000000E2,7.850000000000000E-1,5.549351332373430E19
4.749999999999999E2,1.700000000000000E2,7.850000000000000E-1,5.876261567902282E19
4.749999999999999E2,1.750000000000000E2,7.850000000000000E-1,6.182615620068731E19
4.749999999999999E2,1.800000000000000E2,7.850000000000000E-1,6.182408630361828E19
4.749999999999999E2,1.850000000000000E2,7.850000000000000E-1,6.546253259261693E19
4.749999999999999E2,1.900000000000000E2,7.850000000000000E-1,6.915553101718841E19
4.749999999999999E2,1.950000000000000E2,7.850000000000000E-1,7.534327600552328E19
4.749999999999999E2,2.000000000000000E2,7.850000000000000E-1,7.807440920467715E19
4.749999999999999E2,2.050000000000000E2,7.850000000000000E-1,8.321071194101817E19
4.749999999999999E2,2.100000000000000E2,7.850000000000000E-1,8.539902285083386E19
4.749999999999999E2,2.150000000000000E2,7.850000000000000E-1,9.549176205247809E19
4.749999999999999E2,2.200000000000000E2,7.850000000000000E-1,1.020042892306089E20
4.749999999999999E2,2.250000000000000E2,7.850000000000000E-1,1.125832177804529E20
4.749999999999999E2,2.300000000000000E2,7.850000000000000E-1,1.149017564643834E20
4.749999999999999E2,2.350000000000000E2,7.850000000000000E-1,1.302951610202811E20
4.749999999999999E2,2.400000000000000E2,7.850000000000000E-1,1.450167706762120E20
4.749999999999999E2,2.450000000000000E2,7.850000000000000E-1,1.574516301423871E20
4.749999999999999E2,2.500000000000000E2,7.850000000000000E-1,1.861838956953415E20
4.749999999999999E2,2.550000000000000E2,7.850000000000000E-1,1.966277059516679E20
4.749999999999999E2,2.599999999999999E2,7.850000000000000E-1,2.226122467605601E20
4.749999999999999E2,2.650000000000000E2,7.850000000000000E-1,2.605460827652827E20
4.749999999999999E2,2.700000000000000E2,7.850000000000000E-1,3.047617697195448E20
4.749999999999999E2,2.750000000000000E2,7.850000000000000E-1,3.359536578810400E20
4.749999999999999E2,2.800000000000000E2,7.850000000000000E-1,4.025854125643427E20
4.749999999999999E2,2.850000000000000E2,7.850000000000000E-1,4.729006189170810E20
4.749999999999999E2,2.900000000000000E2,7.850000000000000E-1,5.445230901006757E20
4.749999999999999E2,2.950000000000000E2,7.850000000000000E-1,5.892518759910549E20
4.749999999999999E2,3.000000000000000E2,7.850000000000000E-1,5.723620803272404E20
