% Model,attempt10-785nm_step3.mph
% Version,COMSOL 6.1.0.282
% Date,"Nov 11 2025, 16:27"
% Table,E^4 - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),ewfd.normE^4 (kg^4*m^6/(s^12*A^4))
305.0,0.0,0.785,3.605613940922181e+18
305.0,5.0,0.785,3.294324597401985e+18
305.0,10.0,0.785,3.233497164746381e+18
305.0,15.000000000000002,0.785,3.167831616458186e+18
305.0,20.0,0.785,3.19871021567005e+18
305.0,25.000000000000004,0.785,3.187481648622702e+18
305.0,30.000000000000004,0.785,3.200373035574714e+18
305.0,35.0,0.785,3.205720514006972e+18
305.0,40.0,0.785,3.279556769472626e+18
305.0,45.000000000000014,0.785,3.248026612097973e+18
305.0,50.00000000000001,0.785,3.216403485907174e+18
305.0,55.0,0.785,3.282524861753527e+18
305.0,60.00000000000002,0.785,3.409756467554584e+18
305.0,65.0,0.785,3.391886688793886e+18
305.0,70.0,0.785,3.340935456337892e+18
305.0,75.00000000000001,0.785,3.404157319206418e+18
305.0,80.0,0.785,3.351116954473763e+18
305.0,85.00000000000001,0.785,3.372294245005828e+18
305.0,90.00000000000001,0.785,3.411175586165931e+18
305.0,95.0,0.785,3.453445584478412e+18
305.0,100.0,0.785,3.502096793026077e+18
305.0,105.0,0.785,3.445715468102888e+18
305.0,110.0,0.785,3.417039963504653e+18
305.0,115.0,0.785,3.368374473555073e+18
305.0,119.99999999999999,0.785,3.443928376719614e+18
305.0,125.0,0.785,3.419665453952693e+18
305.0,130.0,0.785,3.563795124215524e+18
305.0,135.0,0.785,3.538302198907063e+18
305.0,140.0,0.785,3.617072528883617e+18
305.0,145.0,0.785,3.591184270000241e+18
305.0,150.0,0.785,3.64754824089535e+18
305.0,155.0,0.785,3.518025752090966e+18
305.0,160.0,0.785,3.520634445495109e+18
305.0,165.0,0.785,3.631569647836304e+18
305.0,170.0,0.785,3.477126454041315e+18
305.0,175.0,0.785,3.633588609284894e+18
305.0,180.0,0.785,3.587943577265223e+18
305.0,185.0,0.785,3.669930861129746e+18
305.0,190.0,0.785,3.631943909369068e+18
305.0,195.0,0.785,3.568668103793975e+18
305.0,200.0,0.785,3.77937138618782e+18
305.0,205.0,0.785,3.670460945035045e+18
305.0,210.0,0.785,3.699414919463466e+18
305.0,215.0,0.785,3.762785227626083e+18
305.0,220.0,0.785,3.881051808363118e+18
305.0,225.0,0.785,3.831875979905145e+18
305.0,230.0,0.785,3.866288260831828e+18
305.0,235.0,0.785,3.83912630404676e+18
305.0,239.99999999999997,0.785,3.887421425195213e+18
305.0,244.99999999999997,0.785,3.901265141828284e+18
305.0,250.0,0.785,3.942699939111645e+18
305.0,255.0,0.785,3.91234437905348e+18
305.0,260.0,0.785,4.030676259905905e+18
305.0,265.0,0.785,4.027429135246987e+18
305.0,270.0,0.785,4.008851763156294e+18
305.0,275.0,0.785,4.145168639865877e+18
305.0,280.0,0.785,3.978839650166255e+18
305.0,285.0,0.785,4.115167959873648e+18
305.0,290.0,0.785,4.241270911834135e+18
305.0,295.0,0.785,4.342119164700242e+18
305.0,300.0,0.785,4.244140995843936e+18
305.0,305.0,0.785,4.273290650780927e+18
305.0,310.0,0.785,4.330391256578395e+18
305.0,315.0,0.785,4.165878711278841e+18
305.0,320.0,0.785,4.384913016269957e+18
305.0,325.0,0.785,4.532712198070798e+18
305.0,330.0,0.785,4.443011617687084e+18
305.0,335.0,0.785,4.627875586031416e+18
305.0,340.0,0.785,4.444703201894751e+18
305.0,345.0,0.785,4.669495066702112e+18
305.0,350.0,0.785,4.652680432891581e+18
305.0,355.0,0.785,4.947879121319994e+18
305.0,360.0000000000001,0.785,4.816518385341334e+18
305.0,365.0,0.785,4.932634578733935e+18
305.0,370.0,0.785,5.015863651637449e+18
305.0,375.0,0.785,5.104406515684975e+18
305.0,380.0,0.785,4.962092414366748e+18
305.0,385.0,0.785,5.254993807706802e+18
305.0,390.0,0.785,5.60360798414974e+18
305.0,395.0,0.785,5.703999046071076e+18
305.0,400.0,0.785,5.73840269185312e+18
305.0,405.0,0.785,5.998571234214383e+18
305.0,410.0,0.785,6.138446022110849e+18
305.0,415.0000000000001,0.785,6.248019082821078e+18
305.0,420.0,0.785,6.612197966087804e+18
305.0,425.0,0.785,7.204580326042173e+18
305.0,430.0,0.785,7.570688021452044e+18
305.0,435.0,0.785,7.903413941041469e+18
305.0,440.0,0.785,8.828607661272922e+18
305.0,445.0,0.785,9.383731586350682e+18
305.0,450.0,0.785,1.06020771437982e+19
