% Model,attempt10-785nm_step6.mph
% Version,COMSOL 6.1.0.282
% Date,"Nov 27 2025, 14:55"
% Table,Table 3 - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),ewfd.normE^4 (kg^4*m^6/(s^12*A^4))
4.050000000000000E2,0.000000000000000E0,7.850000000000000E-1,1.844709060357411E19
4.050000000000000E2,4.999999999999999E0,7.850000000000000E-1,1.796492347673709E19
4.050000000000000E2,9.999999999999998E0,7.850000000000000E-1,1.748902215257572E19
4.050000000000000E2,1.500000000000000E1,7.850000000000000E-1,1.722437331726352E19
4.050000000000000E2,2.000000000000000E1,7.850000000000000E-1,1.741966741707018E19
4.050000000000000E2,2.500000000000000E1,7.850000000000000E-1,1.746502377895019E19
4.050000000000000E2,3.000000000000000E1,7.850000000000000E-1,1.734216414482642E19
4.050000000000000E2,3.500000000000000E1,7.850000000000000E-1,1.764163793270477E19
4.050000000000000E2,3.999999999999999E1,7.850000000000000E-1,1.785167740387908E19
4.050000000000000E2,4.500000000000000E1,7.850000000000000E-1,1.777801765652608E19
4.050000000000000E2,5.000000000000000E1,7.850000000000000E-1,1.785639915531787E19
4.050000000000000E2,5.499999999999999E1,7.850000000000000E-1,1.836337635146137E19
4.050000000000000E2,6.000000000000000E1,7.850000000000000E-1,1.728286146863210E19
4.050000000000000E2,6.499999999999999E1,7.850000000000000E-1,1.782110116489094E19
4.050000000000000E2,7.000000000000000E1,7.850000000000000E-1,1.758959911979231E19
4.050000000000000E2,7.500000000000000E1,7.850000000000000E-1,1.801240429833719E19
4.050000000000000E2,7.999999999999999E1,7.850000000000000E-1,1.814311372406804E19
4.050000000000000E2,8.500000000000000E1,7.850000000000000E-1,1.826474736864872E19
4.050000000000000E2,9.000000000000000E1,7.850000000000000E-1,1.796032698358544E19
4.050000000000000E2,9.499999999999999E1,7.850000000000000E-1,1.870947636581271E19
4.050000000000000E2,1.000000000000000E2,7.850000000000000E-1,1.836254791492960E19
4.050000000000000E2,1.050000000000000E2,7.850000000000000E-1,1.822730790648526E19
4.050000000000000E2,1.100000000000000E2,7.850000000000000E-1,1.843543946794428E19
4.050000000000000E2,1.150000000000000E2,7.850000000000000E-1,1.935845120874945E19
4.050000000000000E2,1.200000000000000E2,7.850000000000000E-1,2.017689343237875E19
4.050000000000000E2,1.250000000000000E2,7.850000000000000E-1,1.975883658884855E19
4.050000000000000E2,1.300000000000000E2,7.850000000000000E-1,1.971607085278369E19
4.050000000000000E2,1.350000000000000E2,7.850000000000000E-1,2.008248925106419E19
4.050000000000000E2,1.400000000000000E2,7.850000000000000E-1,2.058770859938973E19
4.050000000000000E2,1.450000000000000E2,7.850000000000000E-1,2.045708027235181E19
4.050000000000000E2,1.500000000000000E2,7.850000000000000E-1,2.077972254574488E19
4.050000000000000E2,1.550000000000000E2,7.850000000000000E-1,2.062125777212908E19
4.050000000000000E2,1.600000000000000E2,7.850000000000000E-1,2.135700230547875E19
4.050000000000000E2,1.650000000000000E2,7.850000000000000E-1,2.254785858869955E19
4.050000000000000E2,1.700000000000000E2,7.850000000000000E-1,2.180758286622794E19
4.050000000000000E2,1.750000000000000E2,7.850000000000000E-1,2.242937129149326E19
4.050000000000000E2,1.800000000000000E2,7.850000000000000E-1,2.259114266781678E19
4.050000000000000E2,1.850000000000000E2,7.850000000000000E-1,2.223700810141762E19
4.050000000000000E2,1.900000000000000E2,7.850000000000000E-1,2.376286481881528E19
4.050000000000000E2,1.950000000000000E2,7.850000000000000E-1,2.411690266883973E19
4.050000000000000E2,2.000000000000000E2,7.850000000000000E-1,2.533901062038732E19
4.050000000000000E2,2.050000000000000E2,7.850000000000000E-1,2.580532111767582E19
4.050000000000000E2,2.100000000000000E2,7.850000000000000E-1,2.626708248834678E19
4.050000000000000E2,2.150000000000000E2,7.850000000000000E-1,2.699005995109553E19
4.050000000000000E2,2.200000000000000E2,7.850000000000000E-1,2.874259809305611E19
4.050000000000000E2,2.250000000000000E2,7.850000000000000E-1,3.001130078731293E19
4.050000000000000E2,2.300000000000000E2,7.850000000000000E-1,2.911019816933774E19
4.050000000000000E2,2.350000000000000E2,7.850000000000000E-1,2.964229924722896E19
4.050000000000000E2,2.400000000000000E2,7.850000000000000E-1,3.103297594758549E19
4.050000000000000E2,2.450000000000000E2,7.850000000000000E-1,3.344907003550569E19
4.050000000000000E2,2.500000000000000E2,7.850000000000000E-1,3.471775031910501E19
4.050000000000000E2,2.550000000000000E2,7.850000000000000E-1,3.428031013180711E19
4.050000000000000E2,2.599999999999999E2,7.850000000000000E-1,3.826858147792201E19
4.050000000000000E2,2.650000000000000E2,7.850000000000000E-1,3.926645709923045E19
4.050000000000000E2,2.700000000000000E2,7.850000000000000E-1,4.184208333874708E19
4.050000000000000E2,2.750000000000000E2,7.850000000000000E-1,4.297188717082158E19
4.050000000000000E2,2.800000000000000E2,7.850000000000000E-1,4.598459587602137E19
4.050000000000000E2,2.850000000000000E2,7.850000000000000E-1,4.847260943523894E19
4.050000000000000E2,2.900000000000000E2,7.850000000000000E-1,5.284075168049732E19
4.050000000000000E2,2.950000000000000E2,7.850000000000000E-1,5.728338082285860E19
4.050000000000000E2,3.000000000000000E2,7.850000000000000E-1,6.151009350056961E19
4.050000000000000E2,3.050000000000000E2,7.850000000000000E-1,6.679615838503401E19
4.050000000000000E2,3.099999999999999E2,7.850000000000000E-1,7.393840042814725E19
4.050000000000000E2,3.149999999999999E2,7.850000000000000E-1,7.841858624298477E19
4.050000000000000E2,3.199999999999999E2,7.850000000000000E-1,9.062483377107742E19
4.050000000000000E2,3.250000000000000E2,7.850000000000000E-1,1.047382151705898E20
4.050000000000000E2,3.300000000000000E2,7.850000000000000E-1,1.186810676115784E20
4.050000000000000E2,3.350000000000000E2,7.850000000000000E-1,1.458426660291327E20
4.050000000000000E2,3.400000000000000E2,7.850000000000000E-1,1.673994657574289E20
4.050000000000000E2,3.450000000000000E2,7.850000000000000E-1,2.159965580428645E20
4.050000000000000E2,3.500000000000000E2,7.850000000000000E-1,2.569282552057250E20
4.050000000000000E2,3.550000000000000E2,7.850000000000000E-1,3.670188326938560E20
4.050000000000000E2,3.600000000000000E2,7.850000000000000E-1,5.120162498480172E20
4.050000000000000E2,3.649999999999999E2,7.850000000000000E-1,6.911825785748946E20
4.050000000000000E2,3.699999999999999E2,7.850000000000000E-1,1.171173803733318E21
4.050000000000000E2,3.749999999999999E2,7.850000000000000E-1,1.701990468734103E21
4.050000000000000E2,3.799999999999999E2,7.850000000000000E-1,1.810636658600532E21
4.050000000000000E2,3.850000000000000E2,7.850000000000000E-1,1.039610951437005E21
4.050000000000000E2,3.900000000000000E2,7.850000000000000E-1,2.554238521435480E20
4.050000000000000E2,3.950000000000000E2,7.850000000000000E-1,3.030542427323836E19
4.050000000000000E2,4.000000000000000E2,7.850000000000000E-1,1.170801526576574E18
4.050000000000000E2,4.050000000000000E2,7.850000000000000E-1,2.746318929099451E18
4.050000000000000E2,4.100000000000000E2,7.850000000000000E-1,2.210613251880340E20
4.050000000000000E2,4.150000000000000E2,7.850000000000000E-1,2.927310496049760E20
4.050000000000000E2,4.199999999999999E2,7.850000000000000E-1,4.207952809845837E19
