% Model,attempt7 - 0deg copia sem sol.mph
% Version,COMSOL 6.1.0.282
% Date,"Jul 21 2025, 14:31"
% Table,Table 4 - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),ewfd.normE^4 (kg^4*m^6/(s^12*A^4))
3.250000000000000E2,0.000000000000000E0,6.330000000000000E-1,8.340407325513290E19
3.250000000000000E2,2.500000000000000E1,6.330000000000000E-1,3.557386068445226E19
3.250000000000000E2,5.000000000000000E1,6.330000000000000E-1,3.328488688257515E19
3.250000000000000E2,7.500000000000000E1,6.330000000000000E-1,3.513743823587087E19
3.250000000000000E2,1.000000000000000E2,6.330000000000000E-1,3.801649795976655E19
3.250000000000000E2,1.250000000000000E2,6.330000000000000E-1,4.211636759000953E19
3.250000000000000E2,1.500000000000000E2,6.330000000000000E-1,5.310520423815844E19
3.250000000000000E2,1.750000000000000E2,6.330000000000000E-1,6.250610069336991E19
3.250000000000000E2,2.000000000000000E2,6.330000000000000E-1,8.815306467604274E19
3.250000000000000E2,2.250000000000000E2,6.330000000000000E-1,1.309368536332662E20
3.250000000000000E2,2.500000000000000E2,6.330000000000000E-1,2.417230004287962E20
3.250000000000000E2,2.750000000000000E2,6.330000000000000E-1,6.099448494916525E20
3.250000000000000E2,3.000000000000000E2,6.330000000000000E-1,4.632042483303597E20
3.250000000000000E2,3.250000000000000E2,6.330000000000000E-1,6.391571818065024E17
3.250000000000000E2,3.500000000000000E2,6.330000000000000E-1,2.117816340741038E18
3.250000000000000E2,3.749999999999999E2,6.330000000000000E-1,6.562350389695675E18
3.250000000000000E2,4.000000000000000E2,6.330000000000000E-1,1.555508941270675E19
3.250000000000000E2,4.249999999999999E2,6.330000000000000E-1,3.339824344518894E19
3.250000000000000E2,4.500000000000000E2,6.330000000000000E-1,7.665607945063563E19
3.250000000000000E2,4.749999999999999E2,6.330000000000000E-1,2.761218549692487E20
3.250000000000000E2,5.000000000000000E2,6.330000000000000E-1,2.500420622409927E21
3.250000000000000E2,5.250000000000000E2,6.330000000000000E-1,4.062522415272848E18
3.250000000000000E2,5.500000000000000E2,6.330000000000000E-1,2.001973989491981E17
3.250000000000000E2,5.749999999999999E2,6.330000000000000E-1,5.736863915150495E17
3.250000000000000E2,6.000000000000000E2,6.330000000000000E-1,4.573733547360604E19
3.250000000000000E2,6.250000000000000E2,6.330000000000000E-1,4.497185823813399E19
3.250000000000000E2,6.500000000000000E2,6.330000000000000E-1,2.183355187510429E19
3.250000000000000E2,6.749999999999999E2,6.330000000000000E-1,2.220923485987035E19
3.250000000000000E2,7.000000000000000E2,6.330000000000000E-1,2.649796744540860E19
3.500000000000000E2,0.000000000000000E0,6.330000000000000E-1,9.187001046368053E19
3.500000000000000E2,2.500000000000000E1,6.330000000000000E-1,4.220304274736821E19
3.500000000000000E2,5.000000000000000E1,6.330000000000000E-1,4.339565204100126E19
3.500000000000000E2,7.500000000000000E1,6.330000000000000E-1,4.456391785165480E19
3.500000000000000E2,1.000000000000000E2,6.330000000000000E-1,4.741255417270895E19
3.500000000000000E2,1.250000000000000E2,6.330000000000000E-1,6.140861608170775E19
3.500000000000000E2,1.500000000000000E2,6.330000000000000E-1,7.575976073213343E19
3.500000000000000E2,1.750000000000000E2,6.330000000000000E-1,1.025743416961971E20
3.500000000000000E2,2.000000000000000E2,6.330000000000000E-1,1.511017878677962E20
3.500000000000000E2,2.250000000000000E2,6.330000000000000E-1,2.925599070446600E20
3.500000000000000E2,2.500000000000000E2,6.330000000000000E-1,5.769816647387728E20
3.500000000000000E2,2.750000000000000E2,6.330000000000000E-1,2.571379596173467E20
3.500000000000000E2,3.000000000000000E2,6.330000000000000E-1,1.312066123689441E19
3.500000000000000E2,3.250000000000000E2,6.330000000000000E-1,1.349422314080124E18
3.500000000000000E2,3.500000000000000E2,6.330000000000000E-1,5.278465382235335E18
3.500000000000000E2,3.749999999999999E2,6.330000000000000E-1,1.939661089216020E19
3.500000000000000E2,4.000000000000000E2,6.330000000000000E-1,5.928237190848587E19
3.500000000000000E2,4.249999999999999E2,6.330000000000000E-1,3.174503502828721E20
3.500000000000000E2,4.500000000000000E2,6.330000000000000E-1,3.179474270271877E21
3.500000000000000E2,4.749999999999999E2,6.330000000000000E-1,2.864518192530966E17
3.500000000000000E2,5.000000000000000E2,6.330000000000000E-1,2.090473260589723E18
3.500000000000000E2,5.250000000000000E2,6.330000000000000E-1,1.674796639643034E19
3.500000000000000E2,5.500000000000000E2,6.330000000000000E-1,3.603998802664859E20
3.500000000000000E2,5.749999999999999E2,6.330000000000000E-1,3.336308520589708E20
3.500000000000000E2,6.000000000000000E2,6.330000000000000E-1,1.846562502114230E19
3.500000000000000E2,6.250000000000000E2,6.330000000000000E-1,2.146882881189678E19
3.500000000000000E2,6.500000000000000E2,6.330000000000000E-1,3.027022193190199E19
3.500000000000000E2,6.749999999999999E2,6.330000000000000E-1,4.456914110560748E19
3.500000000000000E2,7.000000000000000E2,6.330000000000000E-1,6.658753659772221E19
3.749999999999999E2,0.000000000000000E0,6.330000000000000E-1,1.022598328730282E20
3.749999999999999E2,2.500000000000000E1,6.330000000000000E-1,4.617054844321931E19
3.749999999999999E2,5.000000000000000E1,6.330000000000000E-1,4.732492202196606E19
3.749999999999999E2,7.500000000000000E1,6.330000000000000E-1,5.210910915064119E19
3.749999999999999E2,1.000000000000000E2,6.330000000000000E-1,6.239156199047275E19
3.749999999999999E2,1.250000000000000E2,6.330000000000000E-1,7.716857350560622E19
3.749999999999999E2,1.500000000000000E2,6.330000000000000E-1,1.008249327734423E20
3.749999999999999E2,1.750000000000000E2,6.330000000000000E-1,1.547903126014953E20
3.749999999999999E2,2.000000000000000E2,6.330000000000000E-1,2.487405795492951E20
3.749999999999999E2,2.250000000000000E2,6.330000000000000E-1,3.609210809911364E20
3.749999999999999E2,2.500000000000000E2,6.330000000000000E-1,1.537893086328890E20
3.749999999999999E2,2.750000000000000E2,6.330000000000000E-1,1.489278772258874E20
3.749999999999999E2,3.000000000000000E2,6.330000000000000E-1,1.104159509762557E18
3.749999999999999E2,3.250000000000000E2,6.330000000000000E-1,4.548802016559070E18
3.749999999999999E2,3.500000000000000E2,6.330000000000000E-1,2.697803544631222E19
3.749999999999999E2,3.749999999999999E2,6.330000000000000E-1,2.363366780781210E20
3.749999999999999E2,4.000000000000000E2,6.330000000000000E-1,3.945194404310173E20
3.749999999999999E2,4.249999999999999E2,6.330000000000000E-1,1.240451807109072E18
3.749999999999999E2,4.500000000000000E2,6.330000000000000E-1,1.095792438106645E19
3.749999999999999E2,4.749999999999999E2,6.330000000000000E-1,4.553340466476742E19
3.749999999999999E2,5.000000000000000E2,6.330000000000000E-1,2.513828217768958E20
3.749999999999999E2,5.250000000000000E2,6.330000000000000E-1,5.655623056726367E20
3.749999999999999E2,5.500000000000000E2,6.330000000000000E-1,7.212622975854283E19
3.749999999999999E2,5.749999999999999E2,6.330000000000000E-1,1.100155084641296E19
3.749999999999999E2,6.000000000000000E2,6.330000000000000E-1,1.918401139944147E19
3.749999999999999E2,6.250000000000000E2,6.330000000000000E-1,3.989491952695167E19
3.749999999999999E2,6.500000000000000E2,6.330000000000000E-1,8.248363962915040E19
3.749999999999999E2,6.749999999999999E2,6.330000000000000E-1,2.171848582477955E20
3.749999999999999E2,7.000000000000000E2,6.330000000000000E-1,9.090160866999531E20
4.000000000000000E2,0.000000000000000E0,6.330000000000000E-1,9.506245265416320E19
4.000000000000000E2,2.500000000000000E1,6.330000000000000E-1,4.685884426573737E19
4.000000000000000E2,5.000000000000000E1,6.330000000000000E-1,4.634213793382052E19
4.000000000000000E2,7.500000000000000E1,6.330000000000000E-1,5.200280559488077E19
4.000000000000000E2,1.000000000000000E2,6.330000000000000E-1,6.140478075403611E19
4.000000000000000E2,1.250000000000000E2,6.330000000000000E-1,8.659028295163552E19
4.000000000000000E2,1.500000000000000E2,6.330000000000000E-1,1.135402427701435E20
4.000000000000000E2,1.750000000000000E2,6.330000000000000E-1,1.676969708939989E20
4.000000000000000E2,2.000000000000000E2,6.330000000000000E-1,2.164573501054974E20
4.000000000000000E2,2.250000000000000E2,6.330000000000000E-1,9.623702569245130E19
4.000000000000000E2,2.500000000000000E2,6.330000000000000E-1,2.649997041328405E20
4.000000000000000E2,2.750000000000000E2,6.330000000000000E-1,1.118978400281949E18
4.000000000000000E2,3.000000000000000E2,6.330000000000000E-1,5.274557205277454E18
4.000000000000000E2,3.250000000000000E2,6.330000000000000E-1,8.294870624612896E19
4.000000000000000E2,3.500000000000000E2,6.330000000000000E-1,2.530997277064205E20
4.000000000000000E2,3.749999999999999E2,6.330000000000000E-1,7.907958356632437E19
4.000000000000000E2,4.000000000000000E2,6.330000000000000E-1,1.802937781146467E19
4.000000000000000E2,4.249999999999999E2,6.330000000000000E-1,5.183240879001591E19
4.000000000000000E2,4.500000000000000E2,6.330000000000000E-1,2.015845647410323E20
4.000000000000000E2,4.749999999999999E2,6.330000000000000E-1,1.155875446440398E21
4.000000000000000E2,5.000000000000000E2,6.330000000000000E-1,1.602440747251965E20
4.000000000000000E2,5.250000000000000E2,6.330000000000000E-1,2.522764958241656E19
4.000000000000000E2,5.500000000000000E2,6.330000000000000E-1,5.181313825703523E18
4.000000000000000E2,5.749999999999999E2,6.330000000000000E-1,1.633905716521272E19
4.000000000000000E2,6.000000000000000E2,6.330000000000000E-1,5.302197201878038E19
4.000000000000000E2,6.250000000000000E2,6.330000000000000E-1,2.420405435769601E20
4.000000000000000E2,6.500000000000000E2,6.330000000000000E-1,5.058482567705457E21
4.000000000000000E2,6.749999999999999E2,6.330000000000000E-1,3.341610562534121E19
4.000000000000000E2,7.000000000000000E2,6.330000000000000E-1,2.949594552427680E18
4.249999999999999E2,0.000000000000000E0,6.330000000000000E-1,9.610013057244201E19
4.249999999999999E2,2.500000000000000E1,6.330000000000000E-1,4.435431297867845E19
4.249999999999999E2,5.000000000000000E1,6.330000000000000E-1,4.418063539297319E19
4.249999999999999E2,7.500000000000000E1,6.330000000000000E-1,4.809693558625881E19
4.249999999999999E2,1.000000000000000E2,6.330000000000000E-1,6.069086055386698E19
4.249999999999999E2,1.250000000000000E2,6.330000000000000E-1,8.035350425780922E19
4.249999999999999E2,1.500000000000000E2,6.330000000000000E-1,1.161849543047645E20
4.249999999999999E2,1.750000000000000E2,6.330000000000000E-1,1.301826564266179E20
4.249999999999999E2,2.000000000000000E2,6.330000000000000E-1,7.341651011162143E19
4.249999999999999E2,2.250000000000000E2,6.330000000000000E-1,2.000678919223855E20
4.249999999999999E2,2.500000000000000E2,6.330000000000000E-1,1.439656059211620E18
4.249999999999999E2,2.750000000000000E2,6.330000000000000E-1,1.213960626199948E19
4.249999999999999E2,3.000000000000000E2,6.330000000000000E-1,8.511193454745510E20
4.249999999999999E2,3.250000000000000E2,6.330000000000000E-1,2.282473956482118E19
4.249999999999999E2,3.500000000000000E2,6.330000000000000E-1,9.598790456498595E19
4.249999999999999E2,3.749999999999999E2,6.330000000000000E-1,3.698357384939713E19
