% Model,attempt7 - 45deg ate 600 nm.mph
% Version,COMSOL 6.1.0.282
% Date,"Jul 21 2025, 10:41"
% Table,Table 4 - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),(ewfd.normE)^4 (kg^4*m^6/(s^12*A^4))
3.250000000000000E2,0.000000000000000E0,6.330000000000000E-1,6.990885569160136E19
3.250000000000000E2,2.500000000000000E1,6.330000000000000E-1,4.764198690418126E19
3.250000000000000E2,5.000000000000000E1,6.330000000000000E-1,5.125351419765868E19
3.250000000000000E2,7.500000000000000E1,6.330000000000000E-1,5.681942322816078E19
3.250000000000000E2,1.000000000000000E2,6.330000000000000E-1,6.088016065530774E19
3.250000000000000E2,1.250000000000000E2,6.330000000000000E-1,7.072966525383130E19
3.250000000000000E2,1.500000000000000E2,6.330000000000000E-1,9.602746061559302E19
3.250000000000000E2,1.750000000000000E2,6.330000000000000E-1,1.073252564406630E20
3.250000000000000E2,2.000000000000000E2,6.330000000000000E-1,1.587268457384205E20
3.250000000000000E2,2.250000000000000E2,6.330000000000000E-1,2.353799144921655E20
3.250000000000000E2,2.500000000000000E2,6.330000000000000E-1,4.314952822004208E20
3.250000000000000E2,2.750000000000000E2,6.330000000000000E-1,1.151772448623387E21
3.250000000000000E2,3.000000000000000E2,6.330000000000000E-1,8.379200738447502E20
3.250000000000000E2,3.250000000000000E2,6.330000000000000E-1,9.765721212800593E17
3.250000000000000E2,3.500000000000000E2,6.330000000000000E-1,2.882128021555201E18
3.250000000000000E2,3.749999999999999E2,6.330000000000000E-1,1.010193775424655E19
3.250000000000000E2,4.000000000000000E2,6.330000000000000E-1,2.593484281306666E19
3.250000000000000E2,4.249999999999999E2,6.330000000000000E-1,5.887763003719461E19
3.250000000000000E2,4.500000000000000E2,6.330000000000000E-1,1.381821141526708E20
3.250000000000000E2,4.749999999999999E2,6.330000000000000E-1,5.121858531860044E20
3.250000000000000E2,5.000000000000000E2,6.330000000000000E-1,4.288544939818544E21
3.250000000000000E2,5.250000000000000E2,6.330000000000000E-1,7.659774932364634E18
3.250000000000000E2,5.500000000000000E2,6.330000000000000E-1,3.023119040528190E17
3.250000000000000E2,5.749999999999999E2,6.330000000000000E-1,9.993669703096479E17
3.250000000000000E2,6.000000000000000E2,6.330000000000000E-1,6.196151107580968E19
3.250000000000000E2,6.250000000000000E2,6.330000000000000E-1,6.082797391890552E19
3.250000000000000E2,6.500000000000000E2,6.330000000000000E-1,3.149579195267773E19
3.250000000000000E2,6.749999999999999E2,6.330000000000000E-1,3.687884434942642E19
3.250000000000000E2,7.000000000000000E2,6.330000000000000E-1,4.227748493396945E19
3.500000000000000E2,0.000000000000000E0,6.330000000000000E-1,7.135736136167888E19
3.500000000000000E2,2.500000000000000E1,6.330000000000000E-1,5.451933712641684E19
3.500000000000000E2,5.000000000000000E1,6.330000000000000E-1,6.661499777049705E19
3.500000000000000E2,7.500000000000000E1,6.330000000000000E-1,7.310588559391467E19
3.500000000000000E2,1.000000000000000E2,6.330000000000000E-1,7.906634375396729E19
3.500000000000000E2,1.250000000000000E2,6.330000000000000E-1,1.069653466704739E20
3.500000000000000E2,1.500000000000000E2,6.330000000000000E-1,1.303640572855473E20
3.500000000000000E2,1.750000000000000E2,6.330000000000000E-1,1.765993940363098E20
3.500000000000000E2,2.000000000000000E2,6.330000000000000E-1,2.713840447517132E20
3.500000000000000E2,2.250000000000000E2,6.330000000000000E-1,5.498300598269591E20
3.500000000000000E2,2.500000000000000E2,6.330000000000000E-1,1.065177239253608E21
3.500000000000000E2,2.750000000000000E2,6.330000000000000E-1,4.621092850387146E20
3.500000000000000E2,3.000000000000000E2,6.330000000000000E-1,1.975042938076131E19
3.500000000000000E2,3.250000000000000E2,6.330000000000000E-1,1.850610330834678E18
3.500000000000000E2,3.500000000000000E2,6.330000000000000E-1,7.827834720606666E18
3.500000000000000E2,3.749999999999999E2,6.330000000000000E-1,3.317032922207304E19
3.500000000000000E2,4.000000000000000E2,6.330000000000000E-1,1.026370289329315E20
3.500000000000000E2,4.249999999999999E2,6.330000000000000E-1,5.515092009140228E20
3.500000000000000E2,4.500000000000000E2,6.330000000000000E-1,5.598739780286223E21
3.500000000000000E2,4.749999999999999E2,6.330000000000000E-1,4.131730906215523E17
3.500000000000000E2,5.000000000000000E2,6.330000000000000E-1,3.783085365819179E18
