% Model,attempt10-785nm_step1.mph
% Version,COMSOL 6.1.0.282
% Date,"Nov 11 2025, 14:58"
% Table,E^4 - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),ewfd.normE^4 (kg^4*m^6/(s^12*A^4))
2.000000000000000E2,0.000000000000000E0,7.850000000000000E-1,5.164455072199448E17
2.000000000000000E2,4.999999999999999E0,7.850000000000000E-1,4.026415538750159E17
2.000000000000000E2,9.999999999999998E0,7.850000000000000E-1,3.840787577949530E17
2.000000000000000E2,1.500000000000000E1,7.850000000000000E-1,3.836071884786382E17
2.000000000000000E2,2.000000000000000E1,7.850000000000000E-1,3.762642124999766E17
2.000000000000000E2,2.500000000000000E1,7.850000000000000E-1,3.836915420793020E17
2.000000000000000E2,3.000000000000000E1,7.850000000000000E-1,3.877458433898628E17
2.000000000000000E2,3.500000000000000E1,7.850000000000000E-1,3.830550089264383E17
2.000000000000000E2,3.999999999999999E1,7.850000000000000E-1,3.882913495872305E17
2.000000000000000E2,4.500000000000000E1,7.850000000000000E-1,3.997210276730261E17
2.000000000000000E2,5.000000000000000E1,7.850000000000000E-1,3.926464329029062E17
2.000000000000000E2,5.499999999999999E1,7.850000000000000E-1,4.014120034233097E17
2.000000000000000E2,6.000000000000000E1,7.850000000000000E-1,4.042859440762363E17
2.000000000000000E2,6.499999999999999E1,7.850000000000000E-1,4.143731641192049E17
2.000000000000000E2,7.000000000000000E1,7.850000000000000E-1,3.998718424857228E17
2.000000000000000E2,7.500000000000000E1,7.850000000000000E-1,4.184085041887570E17
2.000000000000000E2,7.999999999999999E1,7.850000000000000E-1,4.189133103685839E17
2.000000000000000E2,8.500000000000000E1,7.850000000000000E-1,4.160205391531282E17
2.000000000000000E2,9.000000000000000E1,7.850000000000000E-1,4.226421611019635E17
2.000000000000000E2,9.499999999999999E1,7.850000000000000E-1,4.207427641818200E17
2.000000000000000E2,1.000000000000000E2,7.850000000000000E-1,4.335769197823977E17
2.000000000000000E2,1.050000000000000E2,7.850000000000000E-1,4.233452396715146E17
2.000000000000000E2,1.100000000000000E2,7.850000000000000E-1,4.336139905741698E17
2.000000000000000E2,1.150000000000000E2,7.850000000000000E-1,4.381467949762533E17
2.000000000000000E2,1.200000000000000E2,7.850000000000000E-1,4.265513225924100E17
2.000000000000000E2,1.250000000000000E2,7.850000000000000E-1,4.370757830558189E17
2.000000000000000E2,1.300000000000000E2,7.850000000000000E-1,4.332997100805222E17
2.000000000000000E2,1.350000000000000E2,7.850000000000000E-1,4.410660716288583E17
2.000000000000000E2,1.400000000000000E2,7.850000000000000E-1,4.353071892867929E17
2.000000000000000E2,1.450000000000000E2,7.850000000000000E-1,4.297998922931226E17
2.000000000000000E2,1.500000000000000E2,7.850000000000000E-1,4.415357762764785E17
2.000000000000000E2,1.550000000000000E2,7.850000000000000E-1,4.383046483333160E17
2.000000000000000E2,1.600000000000000E2,7.850000000000000E-1,4.402228168368863E17
2.000000000000000E2,1.650000000000000E2,7.850000000000000E-1,4.475746412922537E17
2.000000000000000E2,1.700000000000000E2,7.850000000000000E-1,4.450572858092270E17
2.000000000000000E2,1.750000000000000E2,7.850000000000000E-1,4.328799420160523E17
2.000000000000000E2,1.800000000000000E2,7.850000000000000E-1,4.420916000836427E17
2.000000000000000E2,1.850000000000000E2,7.850000000000000E-1,4.397747979510495E17
2.000000000000000E2,1.900000000000000E2,7.850000000000000E-1,4.551877907801733E17
2.000000000000000E2,1.950000000000000E2,7.850000000000000E-1,4.439606678472109E17
2.000000000000000E2,2.000000000000000E2,7.850000000000000E-1,4.366158896276077E17
2.000000000000000E2,2.050000000000000E2,7.850000000000000E-1,4.437546213536657E17
2.000000000000000E2,2.100000000000000E2,7.850000000000000E-1,4.371454127860787E17
2.000000000000000E2,2.150000000000000E2,7.850000000000000E-1,4.596971842755370E17
2.000000000000000E2,2.200000000000000E2,7.850000000000000E-1,4.540589632058578E17
2.000000000000000E2,2.250000000000000E2,7.850000000000000E-1,4.490877381237282E17
2.000000000000000E2,2.300000000000000E2,7.850000000000000E-1,4.518910720932137E17
2.000000000000000E2,2.350000000000000E2,7.850000000000000E-1,4.401987762546917E17
2.000000000000000E2,2.400000000000000E2,7.850000000000000E-1,4.375082506453115E17
2.000000000000000E2,2.450000000000000E2,7.850000000000000E-1,4.364765177970500E17
2.000000000000000E2,2.500000000000000E2,7.850000000000000E-1,4.441842591183690E17
2.000000000000000E2,2.550000000000000E2,7.850000000000000E-1,4.427123980037229E17
