% Model,attempt10-785nm_step13.mph
% Version,COMSOL 6.1.0.282
% Date,"Dec 3 2025, 16:15"
% Table,Table 3 - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),ewfd.normE^4 (kg^4*m^6/(s^12*A^4))
4.900000000000000E2,0.000000000000000E0,7.850000000000000E-1,4.680327658318010E19
4.900000000000000E2,4.999999999999999E0,7.850000000000000E-1,4.408923782003997E19
4.900000000000000E2,9.999999999999998E0,7.850000000000000E-1,4.270632217202924E19
4.900000000000000E2,1.500000000000000E1,7.850000000000000E-1,4.069803696463867E19
4.900000000000000E2,2.000000000000000E1,7.850000000000000E-1,4.098196296421696E19
4.900000000000000E2,2.500000000000000E1,7.850000000000000E-1,4.018227555936977E19
4.900000000000000E2,3.000000000000000E1,7.850000000000000E-1,4.017197301903620E19
4.900000000000000E2,3.500000000000000E1,7.850000000000000E-1,3.873864414985248E19
4.900000000000000E2,3.999999999999999E1,7.850000000000000E-1,3.906463747072900E19
4.900000000000000E2,4.500000000000000E1,7.850000000000000E-1,4.041837455839170E19
4.900000000000000E2,5.000000000000000E1,7.850000000000000E-1,3.991821873430308E19
4.900000000000000E2,5.499999999999999E1,7.850000000000000E-1,4.041417256034382E19
4.900000000000000E2,6.000000000000000E1,7.850000000000000E-1,3.981064618963767E19
4.900000000000000E2,6.499999999999999E1,7.850000000000000E-1,4.084865138434820E19
4.900000000000000E2,7.000000000000000E1,7.850000000000000E-1,4.091247526605365E19
4.900000000000000E2,7.500000000000000E1,7.850000000000000E-1,4.030812182660443E19
4.900000000000000E2,7.999999999999999E1,7.850000000000000E-1,4.033267003767262E19
4.900000000000000E2,8.500000000000000E1,7.850000000000000E-1,4.240989652581113E19
4.900000000000000E2,9.000000000000000E1,7.850000000000000E-1,4.243566427088810E19
4.900000000000000E2,9.499999999999999E1,7.850000000000000E-1,4.071577000116298E19
4.900000000000000E2,1.000000000000000E2,7.850000000000000E-1,4.219245027559883E19
4.900000000000000E2,1.050000000000000E2,7.850000000000000E-1,4.308561142103946E19
4.900000000000000E2,1.100000000000000E2,7.850000000000000E-1,4.509200347540153E19
4.900000000000000E2,1.150000000000000E2,7.850000000000000E-1,4.725528128626946E19
4.900000000000000E2,1.200000000000000E2,7.850000000000000E-1,4.954319708906509E19
4.900000000000000E2,1.250000000000000E2,7.850000000000000E-1,4.821162911884793E19
4.900000000000000E2,1.300000000000000E2,7.850000000000000E-1,5.103031465908883E19
4.900000000000000E2,1.350000000000000E2,7.850000000000000E-1,5.135465492694461E19
4.900000000000000E2,1.400000000000000E2,7.850000000000000E-1,5.180156961264688E19
4.900000000000000E2,1.450000000000000E2,7.850000000000000E-1,5.585179147469249E19
4.900000000000000E2,1.500000000000000E2,7.850000000000000E-1,5.613031239743049E19
