% Model,attempt10-785nm_step7.mph
% Version,COMSOL 6.1.0.282
% Date,"Nov 27 2025, 15:12"
% Table,Table 3 - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),ewfd.normE^4 (kg^4*m^6/(s^12*A^4))
4.150000000000000E2,0.000000000000000E0,7.850000000000000E-1,2.668233859744254E19
4.150000000000000E2,4.999999999999999E0,7.850000000000000E-1,2.070094959399818E19
4.150000000000000E2,9.999999999999998E0,7.850000000000000E-1,2.017447039182107E19
4.150000000000000E2,1.500000000000000E1,7.850000000000000E-1,2.029514747133111E19
4.150000000000000E2,2.000000000000000E1,7.850000000000000E-1,2.017453996889804E19
4.150000000000000E2,2.500000000000000E1,7.850000000000000E-1,1.978604905253248E19
4.150000000000000E2,3.000000000000000E1,7.850000000000000E-1,2.011015580793193E19
4.150000000000000E2,3.500000000000000E1,7.850000000000000E-1,1.998858513828651E19
4.150000000000000E2,3.999999999999999E1,7.850000000000000E-1,2.032253131713356E19
4.150000000000000E2,4.500000000000000E1,7.850000000000000E-1,2.020835275500333E19
4.150000000000000E2,5.000000000000000E1,7.850000000000000E-1,1.967979093277983E19
4.150000000000000E2,5.499999999999999E1,7.850000000000000E-1,1.997376246445366E19
4.150000000000000E2,6.000000000000000E1,7.850000000000000E-1,2.025190024745928E19
4.150000000000000E2,6.499999999999999E1,7.850000000000000E-1,2.007806988293640E19
4.150000000000000E2,7.000000000000000E1,7.850000000000000E-1,2.057321862934902E19
4.150000000000000E2,7.500000000000000E1,7.850000000000000E-1,2.018861110586306E19
4.150000000000000E2,7.999999999999999E1,7.850000000000000E-1,2.072994472395368E19
4.150000000000000E2,8.500000000000000E1,7.850000000000000E-1,2.078668764475195E19
4.150000000000000E2,9.000000000000000E1,7.850000000000000E-1,2.101594882443406E19
4.150000000000000E2,9.499999999999999E1,7.850000000000000E-1,2.162631165526939E19
4.150000000000000E2,1.000000000000000E2,7.850000000000000E-1,2.137950612217117E19
