% Model,attempt8.mph
% Version,COMSOL 6.1.0.282
% Date,"Aug 27 2025, 15:25"
% Table,ewfd.normE^4_ate 200nm  - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),ewfd.normE^4 (kg^4*m^6/(s^12*A^4))
5.000000000000000E1,0.000000000000000E0,6.330000000000000E-1,1.328647221863414E17
5.000000000000000E1,1.250000000000000E1,6.330000000000000E-1,1.551802824856184E16
5.000000000000000E1,2.500000000000000E1,6.330000000000000E-1,1.337260575795448E16
5.000000000000000E1,3.750000000000000E1,6.330000000000000E-1,1.275660688684705E16
5.000000000000000E1,5.000000000000000E1,6.330000000000000E-1,1.242804828185888E16
5.000000000000000E1,6.250000000000000E1,6.330000000000000E-1,1.244819779837326E16
5.000000000000000E1,7.500000000000000E1,6.330000000000000E-1,1.245564969829276E16
5.000000000000000E1,8.750000000000000E1,6.330000000000000E-1,1.241529554079185E16
5.000000000000000E1,1.000000000000000E2,6.330000000000000E-1,1.221602822975624E16
5.000000000000000E1,1.125000000000000E2,6.330000000000000E-1,1.238344112796658E16
5.000000000000000E1,1.250000000000000E2,6.330000000000000E-1,1.228907697231006E16
5.000000000000000E1,1.375000000000000E2,6.330000000000000E-1,1.252871875494708E16
5.000000000000000E1,1.500000000000000E2,6.330000000000000E-1,1.243195956679351E16
5.000000000000000E1,1.625000000000000E2,6.330000000000000E-1,1.250060660000663E16
5.000000000000000E1,1.750000000000000E2,6.330000000000000E-1,1.236549413013737E16
5.000000000000000E1,1.875000000000000E2,6.330000000000000E-1,1.216851736434463E16
5.000000000000000E1,2.000000000000000E2,6.330000000000000E-1,1.220234940608351E16
5.000000000000000E1,2.125000000000000E2,6.330000000000000E-1,1.207671909748077E16
5.000000000000000E1,2.250000000000000E2,6.330000000000000E-1,1.229416013818535E16
5.000000000000000E1,2.375000000000000E2,6.330000000000000E-1,1.193427364544037E16
5.000000000000000E1,2.500000000000000E2,6.330000000000000E-1,1.209081852062355E16
5.000000000000000E1,2.625000000000000E2,6.330000000000000E-1,1.216897976134061E16
5.000000000000000E1,2.750000000000000E2,6.330000000000000E-1,1.232075507149582E16
5.000000000000000E1,2.874999999999999E2,6.330000000000000E-1,1.193106904195397E16
5.000000000000000E1,3.000000000000000E2,6.330000000000000E-1,1.187985995293625E16
5.000000000000000E1,3.125000000000000E2,6.330000000000000E-1,1.211119360615478E16
5.000000000000000E1,3.250000000000000E2,6.330000000000000E-1,1.197322709811162E16
5.000000000000000E1,3.374999999999999E2,6.330000000000000E-1,1.214500336055028E16
5.000000000000000E1,3.500000000000000E2,6.330000000000000E-1,1.219969184529999E16
5.000000000000000E1,3.625000000000000E2,6.330000000000000E-1,1.183676385214710E16
5.000000000000000E1,3.749999999999999E2,6.330000000000000E-1,1.194028538463587E16
5.000000000000000E1,3.875000000000000E2,6.330000000000000E-1,1.202866155140910E16
5.000000000000000E1,4.000000000000000E2,6.330000000000000E-1,1.183017276724604E16
5.000000000000000E1,4.125000000000000E2,6.330000000000000E-1,1.194357049465401E16
5.000000000000000E1,4.249999999999999E2,6.330000000000000E-1,1.209980580343279E16
5.000000000000000E1,4.375000000000000E2,6.330000000000000E-1,1.211982780343827E16
5.000000000000000E1,4.500000000000000E2,6.330000000000000E-1,1.210838560594910E16
5.000000000000000E1,4.624999999999999E2,6.330000000000000E-1,1.212821032229142E16
5.000000000000000E1,4.749999999999999E2,6.330000000000000E-1,1.204487547225779E16
5.000000000000000E1,4.874999999999999E2,6.330000000000000E-1,1.182448330752145E16
5.000000000000000E1,5.000000000000000E2,6.330000000000000E-1,1.174609698272131E16
6.250000000000000E1,0.000000000000000E0,6.330000000000000E-1,2.173767327156732E17
6.250000000000000E1,1.250000000000000E1,6.330000000000000E-1,3.078606576789069E16
6.250000000000000E1,2.500000000000000E1,6.330000000000000E-1,2.657228685482858E16
6.250000000000000E1,3.750000000000000E1,6.330000000000000E-1,2.524681482556183E16
6.250000000000000E1,5.000000000000000E1,6.330000000000000E-1,2.503964938059472E16
6.250000000000000E1,6.250000000000000E1,6.330000000000000E-1,2.424952648944378E16
6.250000000000000E1,7.500000000000000E1,6.330000000000000E-1,2.450675613459452E16
6.250000000000000E1,8.750000000000000E1,6.330000000000000E-1,2.453761616911771E16
6.250000000000000E1,1.000000000000000E2,6.330000000000000E-1,2.451838984128856E16
6.250000000000000E1,1.125000000000000E2,6.330000000000000E-1,2.425635037544746E16
6.250000000000000E1,1.250000000000000E2,6.330000000000000E-1,2.441695579580145E16
6.250000000000000E1,1.375000000000000E2,6.330000000000000E-1,2.414753152469439E16
6.250000000000000E1,1.500000000000000E2,6.330000000000000E-1,2.402637606430460E16
6.250000000000000E1,1.625000000000000E2,6.330000000000000E-1,2.378621498669566E16
6.250000000000000E1,1.750000000000000E2,6.330000000000000E-1,2.418074238367113E16
6.250000000000000E1,1.875000000000000E2,6.330000000000000E-1,2.406299329743089E16
6.250000000000000E1,2.000000000000000E2,6.330000000000000E-1,2.399789946458417E16
6.250000000000000E1,2.125000000000000E2,6.330000000000000E-1,2.339146341266555E16
6.250000000000000E1,2.250000000000000E2,6.330000000000000E-1,2.365896593898163E16
6.250000000000000E1,2.375000000000000E2,6.330000000000000E-1,2.341930040424395E16
6.250000000000000E1,2.500000000000000E2,6.330000000000000E-1,2.376936229100607E16
6.250000000000000E1,2.625000000000000E2,6.330000000000000E-1,2.327755636178184E16
6.250000000000000E1,2.750000000000000E2,6.330000000000000E-1,2.302330603743479E16
6.250000000000000E1,2.874999999999999E2,6.330000000000000E-1,2.337402856760852E16
6.250000000000000E1,3.000000000000000E2,6.330000000000000E-1,2.309616605139151E16
6.250000000000000E1,3.125000000000000E2,6.330000000000000E-1,2.309146868163999E16
6.250000000000000E1,3.250000000000000E2,6.330000000000000E-1,2.319255312467659E16
6.250000000000000E1,3.374999999999999E2,6.330000000000000E-1,2.310203329043445E16
6.250000000000000E1,3.500000000000000E2,6.330000000000000E-1,2.305915260630904E16
6.250000000000000E1,3.625000000000000E2,6.330000000000000E-1,2.285961771798443E16
6.250000000000000E1,3.749999999999999E2,6.330000000000000E-1,2.274036444490556E16
6.250000000000000E1,3.875000000000000E2,6.330000000000000E-1,2.340826410653496E16
6.250000000000000E1,4.000000000000000E2,6.330000000000000E-1,2.290141794751962E16
6.250000000000000E1,4.125000000000000E2,6.330000000000000E-1,2.309170342765659E16
6.250000000000000E1,4.249999999999999E2,6.330000000000000E-1,2.318038635864598E16
6.250000000000000E1,4.375000000000000E2,6.330000000000000E-1,2.335015672196054E16
6.250000000000000E1,4.500000000000000E2,6.330000000000000E-1,2.306970800957223E16
6.250000000000000E1,4.624999999999999E2,6.330000000000000E-1,2.313455147694236E16
6.250000000000000E1,4.749999999999999E2,6.330000000000000E-1,2.324439781611688E16
6.250000000000000E1,4.874999999999999E2,6.330000000000000E-1,2.283698397380854E16
6.250000000000000E1,5.000000000000000E2,6.330000000000000E-1,2.285623737266919E16
7.500000000000000E1,0.000000000000000E0,6.330000000000000E-1,3.324788718316884E17
7.500000000000000E1,1.250000000000000E1,6.330000000000000E-1,5.415900071818486E16
7.500000000000000E1,2.500000000000000E1,6.330000000000000E-1,4.737084052372884E16
7.500000000000000E1,3.750000000000000E1,6.330000000000000E-1,4.493024078397774E16
