% Model,attempt8.mph
% Version,COMSOL 6.1.0.282
% Date,"Aug 27 2025, 15:24"
% Table,ewfd.normE^4_ate_325nm - 
% pyramid_l (nm),D (nm),lambda0 (µm),ewfd.normE^4 (kg^4*m^6/(s^12*A^4))
2.125000000000000E2,0.000000000000000E0,6.330000000000000E-1,2.751823733003225E18
2.125000000000000E2,1.250000000000000E1,6.330000000000000E-1,2.916054669942905E18
2.125000000000000E2,2.500000000000000E1,6.330000000000000E-1,3.154211501604962E18
2.125000000000000E2,3.750000000000000E1,6.330000000000000E-1,3.259625240943203E18
2.125000000000000E2,5.000000000000000E1,6.330000000000000E-1,3.366233933018777E18
2.125000000000000E2,6.250000000000000E1,6.330000000000000E-1,3.569772961097844E18
2.125000000000000E2,7.500000000000000E1,6.330000000000000E-1,3.698267142264840E18
2.125000000000000E2,8.750000000000000E1,6.330000000000000E-1,3.881507226403847E18
2.125000000000000E2,1.000000000000000E2,6.330000000000000E-1,3.992852160624356E18
2.125000000000000E2,1.125000000000000E2,6.330000000000000E-1,4.185107918204806E18
2.125000000000000E2,1.250000000000000E2,6.330000000000000E-1,4.408014276002299E18
2.125000000000000E2,1.375000000000000E2,6.330000000000000E-1,4.463204584615876E18
2.125000000000000E2,1.500000000000000E2,6.330000000000000E-1,4.598908700420837E18
2.125000000000000E2,1.625000000000000E2,6.330000000000000E-1,4.778231765824423E18
2.125000000000000E2,1.750000000000000E2,6.330000000000000E-1,4.903731665831691E18
2.125000000000000E2,1.875000000000000E2,6.330000000000000E-1,5.006211816621476E18
2.125000000000000E2,2.000000000000000E2,6.330000000000000E-1,5.217359123287262E18
2.125000000000000E2,2.125000000000000E2,6.330000000000000E-1,5.396870219800826E18
2.125000000000000E2,2.250000000000000E2,6.330000000000000E-1,5.473736618458838E18
2.125000000000000E2,2.375000000000000E2,6.330000000000000E-1,5.683797202203144E18
2.125000000000000E2,2.500000000000000E2,6.330000000000000E-1,5.721763867595763E18
2.125000000000000E2,2.625000000000000E2,6.330000000000000E-1,5.987102716338208E18
2.125000000000000E2,2.750000000000000E2,6.330000000000000E-1,6.182424863130795E18
2.125000000000000E2,2.874999999999999E2,6.330000000000000E-1,6.301459674106181E18
2.125000000000000E2,3.000000000000000E2,6.330000000000000E-1,6.472802797127063E18
2.125000000000000E2,3.125000000000000E2,6.330000000000000E-1,6.704385028977222E18
2.125000000000000E2,3.250000000000000E2,6.330000000000000E-1,6.835381967009688E18
