% Model,attempt8 - ate 450nm.mph
% Version,COMSOL 6.1.0.282
% Date,"Sep 18 2025, 10:25"
% Table,E^4_ate_450nm(sem o plano) - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),ewfd.normE^4 (kg^4*m^6/(s^12*A^4))
3.374999999999999E2,0.000000000000000E0,6.330000000000000E-1,6.781918179402093E19
3.374999999999999E2,2.500000000000000E1,6.330000000000000E-1,3.543424056400484E19
3.374999999999999E2,3.750000000000000E1,6.330000000000000E-1,3.367887320640996E19
3.374999999999999E2,5.000000000000000E1,6.330000000000000E-1,3.286987488689984E19
3.374999999999999E2,6.250000000000000E1,6.330000000000000E-1,3.396699165291737E19
3.374999999999999E2,7.500000000000000E1,6.330000000000000E-1,3.391284137920602E19
3.374999999999999E2,8.750000000000000E1,6.330000000000000E-1,3.614494225917268E19
3.374999999999999E2,1.000000000000000E2,6.330000000000000E-1,3.750822351617507E19
3.374999999999999E2,1.125000000000000E2,6.330000000000000E-1,4.097119227502232E19
3.374999999999999E2,1.250000000000000E2,6.330000000000000E-1,4.227731360631110E19
3.374999999999999E2,1.375000000000000E2,6.330000000000000E-1,4.772212911703600E19
3.374999999999999E2,1.500000000000000E2,6.330000000000000E-1,5.106015677807466E19
3.374999999999999E2,1.625000000000000E2,6.330000000000000E-1,5.562317906955933E19
3.374999999999999E2,1.750000000000000E2,6.330000000000000E-1,6.694831419720181E19
3.374999999999999E2,1.875000000000000E2,6.330000000000000E-1,7.562934534593920E19
3.374999999999999E2,2.000000000000000E2,6.330000000000000E-1,8.959397546822312E19
3.374999999999999E2,2.125000000000000E2,6.330000000000000E-1,1.168678778628348E20
3.374999999999999E2,2.250000000000000E2,6.330000000000000E-1,1.517797202366813E20
3.374999999999999E2,2.375000000000000E2,6.330000000000000E-1,2.134258324322269E20
3.374999999999999E2,2.500000000000000E2,6.330000000000000E-1,3.217137790511035E20
3.374999999999999E2,2.625000000000000E2,6.330000000000000E-1,5.270452155926310E20
3.374999999999999E2,2.750000000000000E2,6.330000000000000E-1,7.472136572335573E20
3.374999999999999E2,2.874999999999999E2,6.330000000000000E-1,4.568247002053576E20
3.374999999999999E2,3.000000000000000E2,6.330000000000000E-1,4.132439635118676E19
3.374999999999999E2,3.125000000000000E2,6.330000000000000E-1,2.022188752251401E18
3.374999999999999E2,3.250000000000000E2,6.330000000000000E-1,8.527485577787169E18
3.374999999999999E2,3.374999999999999E2,6.330000000000000E-1,1.282015067955056E18
3.374999999999999E2,3.500000000000000E2,6.330000000000000E-1,2.073272457055027E18
3.374999999999999E2,3.625000000000000E2,6.330000000000000E-1,4.023522511551972E18
3.374999999999999E2,3.749999999999999E2,6.330000000000000E-1,7.157312373069724E18
3.374999999999999E2,3.875000000000000E2,6.330000000000000E-1,1.144374947859777E19
3.374999999999999E2,4.000000000000000E2,6.330000000000000E-1,1.747928972435429E19
3.374999999999999E2,4.125000000000000E2,6.330000000000000E-1,2.731576169176706E19
3.374999999999999E2,4.249999999999999E2,6.330000000000000E-1,4.364407592894526E19
3.374999999999999E2,4.375000000000000E2,6.330000000000000E-1,7.553021786472882E19
3.374999999999999E2,4.500000000000000E2,6.330000000000000E-1,1.587319578150615E20
3.374999999999999E2,4.624999999999999E2,6.330000000000000E-1,4.779527858416516E20
3.374999999999999E2,4.749999999999999E2,6.330000000000000E-1,2.762055307904082E21
3.374999999999999E2,4.874999999999999E2,6.330000000000000E-1,5.572897346443438E20
3.374999999999999E2,5.000000000000000E2,6.330000000000000E-1,2.965768749865490E19
3.500000000000000E2,0.000000000000000E0,6.330000000000000E-1,7.997643255228662E19
