% Model,attempt8-450.mph
% Version,COMSOL 6.1.0.282
% Date,"Aug 27 2025, 22:23"
% Table,ewfd.normE^4_ate_500nm - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),ewfd.normE^4 (kg^4*m^6/(s^12*A^4))
4.624999999999999E2,0.000000000000000E0,6.330000000000000E-1,7.436631023041837E19
4.624999999999999E2,1.250000000000000E1,6.330000000000000E-1,4.370089267570975E19
4.624999999999999E2,2.500000000000000E1,6.330000000000000E-1,3.915555880404850E19
4.624999999999999E2,3.750000000000000E1,6.330000000000000E-1,3.670796468129438E19
4.624999999999999E2,5.000000000000000E1,6.330000000000000E-1,3.764759203407181E19
4.624999999999999E2,6.250000000000000E1,6.330000000000000E-1,3.915962852704844E19
4.624999999999999E2,7.500000000000000E1,6.330000000000000E-1,3.996340374674193E19
4.624999999999999E2,8.750000000000000E1,6.330000000000000E-1,4.578405084924205E19
4.624999999999999E2,1.000000000000000E2,6.330000000000000E-1,4.923660028728660E19
4.624999999999999E2,1.125000000000000E2,6.330000000000000E-1,5.383961541644698E19
4.624999999999999E2,1.250000000000000E2,6.330000000000000E-1,6.173522360230138E19
4.624999999999999E2,1.375000000000000E2,6.330000000000000E-1,6.515204517680887E19
4.624999999999999E2,1.500000000000000E2,6.330000000000000E-1,6.618730788457105E19
4.624999999999999E2,1.625000000000000E2,6.330000000000000E-1,5.562337042060183E19
4.624999999999999E2,1.750000000000000E2,6.330000000000000E-1,2.920175607164388E19
4.624999999999999E2,1.875000000000000E2,6.330000000000000E-1,9.432749387185573E19
4.624999999999999E2,2.000000000000000E2,6.330000000000000E-1,1.554611856223172E19
4.624999999999999E2,2.125000000000000E2,6.330000000000000E-1,5.320303145287967E18
4.624999999999999E2,2.250000000000000E2,6.330000000000000E-1,1.530030024226708E19
4.624999999999999E2,2.375000000000000E2,6.330000000000000E-1,1.397501450061612E20
4.624999999999999E2,2.500000000000000E2,6.330000000000000E-1,1.087802241572967E20
4.624999999999999E2,2.625000000000000E2,6.330000000000000E-1,3.128192207286389E19
4.624999999999999E2,2.750000000000000E2,6.330000000000000E-1,7.787949524555134E19
4.624999999999999E2,2.874999999999999E2,6.330000000000000E-1,3.441333165390981E20
4.624999999999999E2,3.000000000000000E2,6.330000000000000E-1,5.318566696093762E20
4.624999999999999E2,3.125000000000000E2,6.330000000000000E-1,6.246570951666424E19
4.624999999999999E2,3.250000000000000E2,6.330000000000000E-1,2.267972936541705E19
4.624999999999999E2,3.374999999999999E2,6.330000000000000E-1,2.961152244851153E19
4.624999999999999E2,3.500000000000000E2,6.330000000000000E-1,5.251318106030578E19
4.624999999999999E2,3.625000000000000E2,6.330000000000000E-1,1.127190430321522E20
4.624999999999999E2,3.749999999999999E2,6.330000000000000E-1,2.897681986259167E20
4.624999999999999E2,3.875000000000000E2,6.330000000000000E-1,7.633221296723233E20
4.624999999999999E2,4.000000000000000E2,6.330000000000000E-1,1.438588053781318E21
