% Model,attempt9.mph
% Version,COMSOL 6.1.0.282
% Date,"Sep 19 2025, 11:29"
% Table,E^4_ate_150nm - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),ewfd.normE^4 (kg^4*m^6/(s^12*A^4))
2.500000000000000E1,2.500000000000000E1,6.330000000000000E-1,3.352908713023231E15
2.500000000000000E1,3.750000000000000E1,6.330000000000000E-1,3.730323360375459E15
2.500000000000000E1,5.000000000000000E1,6.330000000000000E-1,4.389814797964093E15
2.500000000000000E1,6.250000000000000E1,6.330000000000000E-1,5.123297033958090E15
2.500000000000000E1,7.500000000000000E1,6.330000000000000E-1,6.015006545059058E15
2.500000000000000E1,8.750000000000000E1,6.330000000000000E-1,7.081237184018089E15
2.500000000000000E1,1.000000000000000E2,6.330000000000000E-1,8.250024299081781E15
2.500000000000000E1,1.125000000000000E2,6.330000000000000E-1,9.605977000566562E15
2.500000000000000E1,1.250000000000000E2,6.330000000000000E-1,1.100680676550257E16
2.500000000000000E1,1.375000000000000E2,6.330000000000000E-1,1.255309240475939E16
2.500000000000000E1,1.500000000000000E2,6.330000000000000E-1,1.429280718912268E16
3.750000000000000E1,2.500000000000000E1,6.330000000000000E-1,8.392619316729164E15
3.750000000000000E1,3.750000000000000E1,6.330000000000000E-1,8.666104646993515E15
3.750000000000000E1,5.000000000000000E1,6.330000000000000E-1,9.226763028626328E15
3.750000000000000E1,6.250000000000000E1,6.330000000000000E-1,1.009641995889813E16
3.750000000000000E1,7.500000000000000E1,6.330000000000000E-1,1.119507447013690E16
3.750000000000000E1,8.750000000000000E1,6.330000000000000E-1,1.224216154354417E16
3.750000000000000E1,1.000000000000000E2,6.330000000000000E-1,1.355665141805900E16
3.750000000000000E1,1.125000000000000E2,6.330000000000000E-1,1.494209546772884E16
3.750000000000000E1,1.250000000000000E2,6.330000000000000E-1,1.651059585245186E16
3.750000000000000E1,1.375000000000000E2,6.330000000000000E-1,1.819964432711541E16
3.750000000000000E1,1.500000000000000E2,6.330000000000000E-1,1.978744096775016E16
5.000000000000000E1,2.500000000000000E1,6.330000000000000E-1,1.731112698337439E16
5.000000000000000E1,3.750000000000000E1,6.330000000000000E-1,1.732826961755051E16
5.000000000000000E1,5.000000000000000E1,6.330000000000000E-1,1.801801524149054E16
