% Model,attempt9-2.mph
% Version,COMSOL 6.1.0.282
% Date,"Sep 19 2025, 11:18"
% Table,E^4_ate_300nm - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),ewfd.normE^4 (kg^4*m^6/(s^12*A^4))
2.500000000000000E1,1.625000000000000E2,6.330000000000000E-1,1.608171256178390E16
2.500000000000000E1,1.750000000000000E2,6.330000000000000E-1,1.798802808770206E16
2.500000000000000E1,1.875000000000000E2,6.330000000000000E-1,2.001571535869363E16
2.500000000000000E1,2.000000000000000E2,6.330000000000000E-1,2.220937920307826E16
2.500000000000000E1,2.125000000000000E2,6.330000000000000E-1,2.448705297758657E16
2.500000000000000E1,2.250000000000000E2,6.330000000000000E-1,2.700875317082441E16
2.500000000000000E1,2.375000000000000E2,6.330000000000000E-1,2.949948011199800E16
2.500000000000000E1,2.500000000000000E2,6.330000000000000E-1,3.222488049726594E16
2.500000000000000E1,2.625000000000000E2,6.330000000000000E-1,3.503183709552568E16
2.500000000000000E1,2.750000000000000E2,6.330000000000000E-1,3.796963992344742E16
2.500000000000000E1,2.874999999999999E2,6.330000000000000E-1,4.104108930332462E16
2.500000000000000E1,3.000000000000000E2,6.330000000000000E-1,4.430736541524584E16
3.750000000000000E1,1.625000000000000E2,6.330000000000000E-1,2.179101035662194E16
3.750000000000000E1,1.750000000000000E2,6.330000000000000E-1,2.395291257007900E16
3.750000000000000E1,1.875000000000000E2,6.330000000000000E-1,2.610794917694246E16
3.750000000000000E1,2.000000000000000E2,6.330000000000000E-1,2.835872547138519E16
3.750000000000000E1,2.125000000000000E2,6.330000000000000E-1,3.079376677954978E16
3.750000000000000E1,2.250000000000000E2,6.330000000000000E-1,3.331605460036697E16
3.750000000000000E1,2.375000000000000E2,6.330000000000000E-1,3.592861557521816E16
3.750000000000000E1,2.500000000000000E2,6.330000000000000E-1,3.866417407265906E16
3.750000000000000E1,2.625000000000000E2,6.330000000000000E-1,4.163942079709920E16
3.750000000000000E1,2.750000000000000E2,6.330000000000000E-1,4.465093544403942E16
3.750000000000000E1,2.874999999999999E2,6.330000000000000E-1,4.792158139150442E16
3.750000000000000E1,3.000000000000000E2,6.330000000000000E-1,5.101860287061126E16
5.000000000000000E1,1.625000000000000E2,6.330000000000000E-1,3.139884922950829E16
5.000000000000000E1,1.750000000000000E2,6.330000000000000E-1,3.348560748786736E16
5.000000000000000E1,1.875000000000000E2,6.330000000000000E-1,3.537106099077106E16
5.000000000000000E1,2.000000000000000E2,6.330000000000000E-1,3.811226575714243E16
5.000000000000000E1,2.125000000000000E2,6.330000000000000E-1,4.053601152391042E16
5.000000000000000E1,2.250000000000000E2,6.330000000000000E-1,4.299822389255859E16
5.000000000000000E1,2.375000000000000E2,6.330000000000000E-1,4.619398161154088E16
5.000000000000000E1,2.500000000000000E2,6.330000000000000E-1,4.861629681618980E16
5.000000000000000E1,2.625000000000000E2,6.330000000000000E-1,5.157737794424377E16
5.000000000000000E1,2.750000000000000E2,6.330000000000000E-1,5.464868085947652E16
5.000000000000000E1,2.874999999999999E2,6.330000000000000E-1,5.811743226996636E16
5.000000000000000E1,3.000000000000000E2,6.330000000000000E-1,6.106615373542747E16
6.250000000000000E1,1.625000000000000E2,6.330000000000000E-1,4.604561216486349E16
6.250000000000000E1,1.750000000000000E2,6.330000000000000E-1,4.793351034050410E16
6.250000000000000E1,1.875000000000000E2,6.330000000000000E-1,5.038309633177291E16
6.250000000000000E1,2.000000000000000E2,6.330000000000000E-1,5.264062268904557E16
6.250000000000000E1,2.125000000000000E2,6.330000000000000E-1,5.527994580054593E16
6.250000000000000E1,2.250000000000000E2,6.330000000000000E-1,5.777674734642112E16
6.250000000000000E1,2.375000000000000E2,6.330000000000000E-1,6.062046702839310E16
6.250000000000000E1,2.500000000000000E2,6.330000000000000E-1,6.405050400359976E16
6.250000000000000E1,2.625000000000000E2,6.330000000000000E-1,6.706863391166075E16
6.250000000000000E1,2.750000000000000E2,6.330000000000000E-1,7.014462746834703E16
6.250000000000000E1,2.874999999999999E2,6.330000000000000E-1,7.327235499314163E16
6.250000000000000E1,3.000000000000000E2,6.330000000000000E-1,7.651196018600565E16
7.500000000000000E1,1.625000000000000E2,6.330000000000000E-1,6.818691875026661E16
7.500000000000000E1,1.750000000000000E2,6.330000000000000E-1,6.989650011837978E16
7.500000000000000E1,1.875000000000000E2,6.330000000000000E-1,7.322070951491928E16
7.500000000000000E1,2.000000000000000E2,6.330000000000000E-1,7.530558383713981E16
7.500000000000000E1,2.125000000000000E2,6.330000000000000E-1,7.796546971010822E16
7.500000000000000E1,2.250000000000000E2,6.330000000000000E-1,8.105984161504179E16
7.500000000000000E1,2.375000000000000E2,6.330000000000000E-1,8.261566328861152E16
7.500000000000000E1,2.500000000000000E2,6.330000000000000E-1,8.556540703590925E16
7.500000000000000E1,2.625000000000000E2,6.330000000000000E-1,8.773337657501920E16
7.500000000000000E1,2.750000000000000E2,6.330000000000000E-1,9.158620648125869E16
7.500000000000000E1,2.874999999999999E2,6.330000000000000E-1,9.576986380570405E16
7.500000000000000E1,3.000000000000000E2,6.330000000000000E-1,9.812864474459318E16
8.750000000000000E1,1.625000000000000E2,6.330000000000000E-1,1.015337788140012E17
8.750000000000000E1,1.750000000000000E2,6.330000000000000E-1,1.037905721163176E17
8.750000000000000E1,1.875000000000000E2,6.330000000000000E-1,1.058003355375981E17
8.750000000000000E1,2.000000000000000E2,6.330000000000000E-1,1.092750332948098E17
8.750000000000000E1,2.125000000000000E2,6.330000000000000E-1,1.093167897110055E17
8.750000000000000E1,2.250000000000000E2,6.330000000000000E-1,1.128436773296425E17
8.750000000000000E1,2.375000000000000E2,6.330000000000000E-1,1.140450971416183E17
8.750000000000000E1,2.500000000000000E2,6.330000000000000E-1,1.185019536253376E17
8.750000000000000E1,2.625000000000000E2,6.330000000000000E-1,1.213527310641932E17
8.750000000000000E1,2.750000000000000E2,6.330000000000000E-1,1.256023288184567E17
8.750000000000000E1,2.874999999999999E2,6.330000000000000E-1,1.307353180792348E17
8.750000000000000E1,3.000000000000000E2,6.330000000000000E-1,1.307740489091119E17
1.000000000000000E2,1.625000000000000E2,6.330000000000000E-1,1.483325101541372E17
1.000000000000000E2,1.750000000000000E2,6.330000000000000E-1,1.515281428287650E17
1.000000000000000E2,1.875000000000000E2,6.330000000000000E-1,1.510457584556576E17
1.000000000000000E2,2.000000000000000E2,6.330000000000000E-1,1.547093933350630E17
1.000000000000000E2,2.125000000000000E2,6.330000000000000E-1,1.548099167926256E17
1.000000000000000E2,2.250000000000000E2,6.330000000000000E-1,1.571758011920842E17
1.000000000000000E2,2.375000000000000E2,6.330000000000000E-1,1.615819003559148E17
1.000000000000000E2,2.500000000000000E2,6.330000000000000E-1,1.648931273167724E17
1.000000000000000E2,2.625000000000000E2,6.330000000000000E-1,1.671054499382927E17
1.000000000000000E2,2.750000000000000E2,6.330000000000000E-1,1.707349050627751E17
1.000000000000000E2,2.874999999999999E2,6.330000000000000E-1,1.728086662346463E17
1.000000000000000E2,3.000000000000000E2,6.330000000000000E-1,1.755252734555272E17
1.125000000000000E2,1.625000000000000E2,6.330000000000000E-1,2.143847091765057E17
1.125000000000000E2,1.750000000000000E2,6.330000000000000E-1,2.176858711623982E17
1.125000000000000E2,1.875000000000000E2,6.330000000000000E-1,2.177064903894015E17
1.125000000000000E2,2.000000000000000E2,6.330000000000000E-1,2.195726188162678E17
1.125000000000000E2,2.125000000000000E2,6.330000000000000E-1,2.219997538920427E17
1.125000000000000E2,2.250000000000000E2,6.330000000000000E-1,2.271535040479705E17
1.125000000000000E2,2.375000000000000E2,6.330000000000000E-1,2.253772702726335E17
1.125000000000000E2,2.500000000000000E2,6.330000000000000E-1,2.269736349822990E17
1.125000000000000E2,2.625000000000000E2,6.330000000000000E-1,2.341623802571500E17
1.125000000000000E2,2.750000000000000E2,6.330000000000000E-1,2.345060616659693E17
1.125000000000000E2,2.874999999999999E2,6.330000000000000E-1,2.386366944711720E17
1.125000000000000E2,3.000000000000000E2,6.330000000000000E-1,2.427002592648715E17
1.250000000000000E2,1.625000000000000E2,6.330000000000000E-1,3.161012337646677E17
1.250000000000000E2,1.750000000000000E2,6.330000000000000E-1,3.163781441571511E17
